(0.725243,0.118943,-0.43857)
(-0.477291,0.935843,0.532324)
(0.0855399,-0.354307,-0.868511)
(0.782682,0.378056,-0.847174)
(-0.709383,0.799258,-0.612094)
(0.400685,0.343953,-0.951366)
(-0.0016709,0.764593,-0.190226)
(-0.816017,-0.705434,-0.515784)
(-0.496402,0.569768,0.0117274)
(-0.13805,0.445259,-0.722945)
(-0.604361,-0.695952,-0.297699)
(-0.405792,-0.912932,-0.843372)
(-0.496925,0.839187,0.391851)
(0.399519,-0.972099,-0.271983)
(-0.577492,0.619679,-0.443153)
(0.595744,-0.994064,0.536324)
(-0.563717,0.462627,0.76491)
(0.0316953,-0.900297,-0.695858)
(-0.916539,0.418201,-0.555103)
(0.0828778,0.561798,0.233707)
(0.350467,0.649958,0.179233)
(-0.0455714,0.925682,0.8632)
(-0.473871,-0.617155,-0.740157)
(0.572428,0.156123,0.397015)
(0.43519,-0.0146603,0.152195)
(0.679849,-0.915649,0.230065)
(-0.0396995,-0.965338,0.881159)
(0.94831,0.848001,0.467499)
(0.716321,0.265212,-0.874201)
(-0.270419,-0.273692,0.146305)
(-0.0456183,0.372385,0.1673)
(-0.0659912,-0.891153,-0.83061)
(-0.0352139,-0.870439,0.58803)
(0.214913,0.483775,0.661027)
(-0.846224,0.83091,-0.203602)
(-0.779745,-0.945215,0.415192)
(-0.499378,-0.559536,0.862771)
(-0.71969,-0.7341,-1)
(0.351339,-0.961728,-1)
(-0.487991,-0.730749,-1)
(-0.254026,-0.758413,-1)
(-0.79289,-0.963069,-1)
(-0.902663,-0.194051,-1)
(-0.27041,0.0954275,-1)
(0.82177,-0.969852,-1)
(-0.282254,-0.997728,-1)
(0.964892,0.575803,-1)
(0.168905,0.910473,-1)
(-0.491436,-0.95314,-1)
(0.0591068,0.554291,-1)
(0.106827,-0.336318,-1)
(-0.651194,0.074761,-1)
(-0.0097999,0.81214,-1)
(-0.22072,0.973209,-1)
(0.049022,0.297833,-1)
(-0.516908,-0.895129,-1)
(-0.259437,-0.0935835,-1)
(-0.470493,-0.298522,-1)
(0.0200475,0.527955,-1)
(0.0271454,-0.785215,-1)
(0.218793,-0.636412,-1)
(0.0887957,-0.998937,-1)
(-0.717422,0.398564,-1)
(0.369171,-0.784378,-1)
(-0.822891,0.400318,-1)
(-0.754035,0.475848,-1)
(-0.273699,-0.783043,-1)
(-0.80785,0.755838,-1)
(-0.258916,0.0590575,-1)
(-0.123632,0.344789,-1)
(-0.835366,-0.483441,-1)
(-0.600984,-0.490804,-1)
(0.144131,-0.823016,-1)
(-0.351433,-0.82682,-1)
(-0.175901,0.330305,-1)
(0.181459,-0.94078,-1)
(-0.466859,-0.669023,-1)
(-0.11026,0.620829,-1)
(0.529749,0.497474,-1)
(-0.174209,0.89313,-1)
(-0.132496,-0.655558,-1)
(0.227107,-0.00435234,-1)
(0.248471,-0.704428,-1)
(0.0615267,-0.456816,-1)
(-0.582294,0.636185,-1)
(0.446572,-0.857119,-1)
(0.461597,0.184706,-1)
(-0.0922716,-0.229666,-1)
(0.274018,-0.526903,-1)
(0.0298449,-0.594638,-1)
(-0.538918,-0.596509,-1)
(-0.319199,-0.882771,-1)
(0.0848006,0.777358,-1)
(-0.330235,-0.39124,-1)
(0.297112,0.266626,-1)
(-0.42789,-0.0286418,-1)
(0.101777,-0.514082,-1)
(0.0848504,-0.310653,-1)
(0.264059,-0.0315043,-1)
(-0.600973,0.428081,-1)
(0.292629,-0.949168,-1)
(-0.913044,-0.455027,-1)
(0.327934,-0.28841,-1)
(-0.658918,-0.79281,-1)
(0.669503,-0.558166,-1)
(0.0537455,-0.868136,-1)
(0.917114,-0.390985,-1)
(-0.114855,-0.218092,-1)
(-0.0994328,0.145395,-1)
(-0.917589,-0.243012,-1)
(-0.841182,-0.870797,-1)
(-0.897069,-0.776535,-0.147608)
(0.562916,-0.213229,0.411309)
(0.644687,-0.464029,-0.176785)
(-0.462851,0.919086,0.452708)
(0.00709545,0.00143894,-0.247025)
(0.886716,0.255853,0.632061)
(0.462713,-0.608421,-0.497572)
(-0.504714,0.531939,0.0779967)
(0.492431,-0.256126,-0.369144)
(-0.124829,-0.163179,0.738443)
(0.616846,0.606486,0.918358)
(0.781968,0.46141,-0.823803)
(-0.990369,0.960834,-0.162816)
(0.516056,0.13546,-0.237696)
(0.428325,0.0974414,0.873454)
(-0.595772,0.132486,-0.115341)
(-0.791608,0.858257,-0.117187)
(0.928667,-0.810193,0.678726)
(0.305463,0.479249,0.146948)
(0.455887,0.0484027,0.822789)
(-0.273433,-0.444811,-0.711666)
(-0.0347645,0.405114,0.11942)
(-0.849759,-0.323484,0.739423)
(0.986371,0.13702,0.237519)
(0.736406,-0.56853,0.559696)
(0.471358,-0.5586,0.571906)
(-0.117811,-0.118886,-0.321415)
(-0.458094,-0.496876,-0.251868)
(0.629346,0.23047,0.0225102)
(0.740735,-0.544327,0.627344)
(-0.263979,0.838833,-0.543836)
(-0.368352,0.713533,0.836515)
(-0.743572,-0.0252556,0.616066)
(-0.846445,-0.556178,-0.841132)
(0.579671,0.585781,-0.0169847)
(0.331276,-0.604616,-0.725212)
(-0.878,0.274857,0.776875)
(0.898621,-1,0.193689)
(-0.435017,-1,0.768177)
(0.894365,-1,0.837749)
(-0.909389,-1,-0.212264)
(-0.0519692,-1,0.916514)
(0.00340487,-1,-0.658377)
(-0.889283,-1,-0.820364)
(0.346228,-1,-0.085972)
(-0.546904,-1,-0.675171)
(0.578083,-1,-0.564287)
(-0.588743,-1,-0.331211)
(-0.248436,-1,0.829741)
(-0.790079,-1,0.056994)
(0.305089,-1,-0.918706)
(-0.905484,-1,-0.223013)
(0.001839,-1,0.834116)
(0.65479,-1,0.412967)
(0.812892,-1,-0.0361364)
(0.727022,-1,0.0995119)
(0.201881,-1,-0.0547097)
(-0.905532,-1,-0.846154)
